Sensor_ID,Timestamp,Latitude,Longitude,Temperature,Humidity,Speed
10,2024-12-12 00:22:00,39.035877,-103.46728,21.1,40.2,41.9
10,2024-12-12 00:22:08,38.166893,-104.09161,25.5,49.8,15.9
10,2024-12-12 00:22:14,38.647243,-104.05896,18.9,61.8,73.0
10,2024-12-12 00:22:18,38.25993,-103.45469,17.8,43.4,93.9
10,2024-12-12 00:22:30,38.04919,-103.68807,20.5,44.4,64.4
10,2024-12-12 00:22:56,39.638805,-103.09344,17.5,40.4,17.4
10,2024-12-12 00:23:50,38.649315,-104.05952,17.0,31.1,81.3
10,2024-12-12 00:23:52,38.95002,-102.691795,15.6,69.7,81.8
10,2024-12-12 00:24:24,38.359333,-102.32772,25.7,47.8,18.3
10,2024-12-12 00:24:35,38.346382,-103.69858,19.2,40.0,74.8
10,2024-12-12 00:25:09,38.579346,-103.53931,20.7,49.6,50.0
10,2024-12-12 00:25:37,38.11079,-104.54317,17.7,60.3,96.2
10,2024-12-12 00:26:25,39.69558,-104.25562,25.4,41.6,63.3
10,2024-12-12 00:26:59,39.29172,-102.97037,19.5,65.3,75.9
10,2024-12-12 00:27:17,37.565002,-102.33164,27.9,64.4,61.4
10,2024-12-12 00:27:27,38.25627,-103.81043,26.0,67.5,56.8
10,2024-12-12 00:27:37,38.94867,-103.76341,21.8,65.5,24.8
10,2024-12-12 00:27:41,39.388397,-104.63497,17.4,58.9,68.0
10,2024-12-12 00:27:51,39.829205,-102.07057,26.4,44.2,14.4
10,2024-12-12 00:27:53,39.87212,-103.6508,28.3,51.1,33.2
10,2024-12-12 00:28:13,37.698345,-104.082756,22.2,62.1,68.4
10,2024-12-12 00:28:25,39.71411,-103.43526,22.3,38.2,91.9
10,2024-12-12 00:28:57,39.321102,-102.8723,24.5,51.2,22.7
10,2024-12-12 00:30:07,39.212505,-102.60318,24.8,64.6,55.2
10,2024-12-12 00:31:14,39.111214,-104.11679,17.3,53.0,71.8
10,2024-12-12 00:31:46,39.14995,-102.67551,20.4,63.8,26.1
10,2024-12-12 00:32:26,38.792675,-102.08302,17.5,65.2,77.7
10,2024-12-12 00:33:06,37.11355,-103.601685,28.9,34.5,7.5
10,2024-12-12 00:33:54,37.79875,-103.520355,27.3,60.6,63.8
10,2024-12-12 00:34:10,39.53132,-103.018196,20.9,51.7,23.5
10,2024-12-12 00:34:18,39.672455,-103.01721,17.5,39.0,71.4
10,2024-12-12 00:34:32,39.328556,-103.3206,25.4,44.3,86.1
10,2024-12-12 00:34:38,37.51743,-102.04853,16.7,61.4,46.7
10,2024-12-12 00:34:44,39.612934,-104.71993,19.7,40.9,87.6
10,2024-12-12 00:35:38,39.020664,-104.53042,23.9,43.2,91.9
10,2024-12-12 00:35:50,38.317883,-104.68545,19.5,58.0,68.5
10,2024-12-12 00:35:56,39.843884,-102.74266,25.2,46.3,76.2
10,2024-12-12 00:36:12,38.09753,-103.93128,22.6,58.9,71.8
10,2024-12-12 00:36:20,37.79378,-104.40904,21.8,65.5,89.8
10,2024-12-12 00:36:30,39.604877,-104.685555,26.6,68.8,99.8
10,2024-12-12 00:36:42,37.98189,-103.496925,22.2,66.1,11.6
10,2024-12-12 00:36:58,39.78983,-104.45458,18.1,34.7,38.0
