Sensor_ID,Timestamp,Latitude,Longitude,Temperature,Humidity,Speed
1,2024-12-11 23:21:54,38.27197,-103.98357,21.7,53.5,55.6
1,2024-12-11 23:22:12,39.121407,-103.928406,25.8,55.7,29.4
1,2024-12-11 23:22:24,39.030518,-104.583275,26.0,59.2,13.5
1,2024-12-11 23:22:42,37.125557,-103.24884,17.8,60.6,59.3
1,2024-12-11 23:22:48,38.48859,-102.09939,28.7,68.7,19.5
1,2024-12-11 23:22:56,39.835052,-104.78334,20.2,37.8,85.7
1,2024-12-11 23:23:16,37.58423,-104.82181,21.0,43.7,29.4
1,2024-12-11 23:23:40,39.221504,-104.43236,24.0,42.6,53.3
1,2024-12-11 23:23:48,39.549046,-104.66196,23.7,69.3,4.6
1,2024-12-11 23:24:06,38.087837,-104.72193,21.7,39.0,25.8
1,2024-12-11 23:24:42,37.351162,-104.18354,20.4,60.9,58.1
1,2024-12-11 23:24:51,38.3672,-103.51089,16.2,66.2,46.0
1,2024-12-11 23:24:53,38.932228,-102.35178,17.4,66.2,17.6
1,2024-12-11 23:24:59,38.87987,-102.44577,25.2,31.5,46.0
1,2024-12-11 23:26:01,39.848392,-104.32852,25.7,55.6,8.3
1,2024-12-11 23:26:11,39.569122,-102.385345,24.7,68.7,32.4
1,2024-12-11 23:26:17,37.315754,-102.40582,23.7,38.0,66.1
1,2024-12-11 23:26:33,38.503624,-104.40321,27.3,45.0,29.5
1,2024-12-11 23:27:07,37.35472,-103.22422,26.0,36.3,58.8
1,2024-12-11 23:27:49,39.91231,-103.74883,24.2,59.8,95.9
1,2024-12-11 23:28:55,38.118793,-104.471214,21.7,39.3,26.9
1,2024-12-11 23:28:57,37.564632,-103.29565,19.5,50.4,31.5
1,2024-12-11 23:29:57,38.830822,-102.21141,19.9,61.9,74.1
1,2024-12-11 23:30:09,38.586647,-104.82564,25.9,62.9,89.3
1,2024-12-11 23:57:34,37.604504,-104.23261,28.9,31.9,96.4
1,2024-12-11 23:58:21,37.073387,-103.38245,16.5,47.8,51.0
1,2024-12-11 23:58:39,39.672966,-103.39839,27.0,64.9,15.8
1,2024-12-11 23:58:57,37.541332,-102.67452,27.9,45.4,37.8
1,2024-12-11 23:59:35,38.839855,-104.44297,22.5,38.9,37.4
1,2024-12-11 23:59:41,37.58564,-102.23782,19.9,51.8,15.1
1,2024-12-11 23:59:47,38.57692,-103.47277,20.7,50.1,14.7
1,2024-12-12 00:00:25,39.120087,-104.03672,22.3,43.6,87.6
1,2024-12-12 00:00:31,37.174427,-104.62704,27.8,34.8,31.9
1,2024-12-12 00:01:01,38.120823,-104.971886,23.7,66.9,17.0
1,2024-12-12 00:01:03,39.43985,-104.91509,28.0,39.6,90.8
1,2024-12-12 00:01:17,37.264877,-104.654495,17.5,58.2,28.2
1,2024-12-12 00:01:27,39.93395,-102.37941,18.6,54.2,20.1
1,2024-12-12 00:01:39,38.72609,-102.15787,22.0,56.0,79.6
1,2024-12-12 00:02:09,38.40498,-103.10001,24.3,44.1,74.1
1,2024-12-12 00:02:17,37.100594,-104.1387,23.0,41.1,66.2
1,2024-12-12 00:02:19,39.238934,-104.62458,18.4,48.9,1.1
1,2024-12-12 00:02:43,38.639915,-103.75939,22.7,39.7,40.8
1,2024-12-12 00:03:23,37.466507,-104.5857,15.3,54.1,63.7
1,2024-12-12 00:03:29,38.504547,-103.904755,20.7,54.8,46.2
1,2024-12-12 00:03:55,38.19519,-102.001915,21.4,32.3,63.1
1,2024-12-12 00:05:24,38.68703,-104.77329,25.7,31.3,97.9
1,2024-12-12 00:12:13,39.777668,-104.88046,19.7,30.1,33.1
1,2024-12-12 00:12:33,39.697388,-102.352295,27.1,47.6,67.4
1,2024-12-12 00:13:29,37.943707,-102.96844,24.5,63.4,11.1
1,2024-12-12 00:14:25,37.37964,-103.991394,21.9,59.2,71.8
1,2024-12-12 00:14:43,39.22298,-103.491776,19.7,66.2,0.6
1,2024-12-12 00:14:49,39.33845,-102.113335,25.5,36.4,43.5
1,2024-12-12 00:15:03,38.881596,-103.21771,22.4,38.6,12.8
1,2024-12-12 00:15:41,39.37746,-103.16875,16.2,46.3,48.8
1,2024-12-12 00:15:49,39.37518,-103.34152,27.9,38.0,92.2
