Sensor_ID,Timestamp,Latitude,Longitude,Temperature,Humidity,Speed
6,2024-12-12 00:25:19,37.393646,-104.559235,23.5,58.0,48.7
6,2024-12-12 00:25:23,37.44741,-102.628204,18.5,63.1,51.4
6,2024-12-12 00:26:01,37.679226,-102.83834,22.6,47.7,4.9
6,2024-12-12 00:26:13,38.137165,-103.07259,19.0,49.0,30.4
6,2024-12-12 00:26:15,39.902905,-102.24077,18.4,66.9,46.4
6,2024-12-12 00:26:51,38.717728,-103.25403,17.0,55.2,52.9
6,2024-12-12 00:27:49,38.05909,-102.03882,23.5,41.8,13.4
6,2024-12-12 00:28:27,38.954956,-103.34596,15.9,46.3,29.3
6,2024-12-12 00:28:33,38.54445,-102.8554,24.5,52.3,87.8
6,2024-12-12 00:28:37,38.421898,-102.717125,18.3,51.0,87.8
6,2024-12-12 00:28:39,39.54413,-103.22862,21.5,52.3,33.0
6,2024-12-12 00:28:47,37.634605,-102.618195,17.2,40.6,61.5
6,2024-12-12 00:29:19,39.57924,-102.158195,29.2,62.5,31.1
6,2024-12-12 00:29:21,38.301743,-104.198715,24.6,57.4,44.2
6,2024-12-12 00:29:25,37.23151,-103.10834,29.1,63.8,75.6
6,2024-12-12 00:29:29,39.670662,-103.32378,22.9,48.6,10.0
6,2024-12-12 00:29:49,38.41586,-104.61013,21.5,68.1,87.6
6,2024-12-12 00:30:15,37.23209,-102.66959,27.8,31.4,5.3
6,2024-12-12 00:30:39,37.391388,-104.79793,17.9,68.7,33.9
6,2024-12-12 00:30:41,38.229763,-103.85667,28.3,46.8,99.0
6,2024-12-12 00:31:26,38.269337,-102.98994,25.0,52.8,79.3
6,2024-12-12 00:31:28,38.80584,-103.90733,21.2,49.1,19.4
6,2024-12-12 00:31:38,37.002586,-103.18575,26.1,46.9,48.2
6,2024-12-12 00:31:40,37.507156,-104.81027,17.6,33.2,78.0
6,2024-12-12 00:31:52,38.430893,-103.42921,24.4,55.7,45.0
6,2024-12-12 00:32:08,37.421215,-103.30492,16.4,44.8,38.4
6,2024-12-12 00:32:36,38.847347,-103.02547,20.4,41.2,81.8
6,2024-12-12 00:33:08,38.126633,-104.46611,19.5,30.4,63.6
6,2024-12-12 00:33:10,39.666477,-104.627625,17.2,45.9,61.2
6,2024-12-12 00:33:16,38.74718,-102.966805,21.8,36.3,62.4
6,2024-12-12 00:33:46,39.214497,-102.48166,24.4,51.0,34.1
6,2024-12-12 00:33:56,38.5583,-103.41534,15.9,36.8,60.3
6,2024-12-12 00:34:08,37.348072,-102.791794,17.2,48.3,19.2
6,2024-12-12 00:35:08,38.671047,-104.29552,27.6,35.2,81.5
6,2024-12-12 00:35:14,39.457657,-102.04256,21.8,34.2,77.1
6,2024-12-12 00:35:42,37.730465,-104.70877,16.2,51.0,99.0
6,2024-12-12 00:36:04,39.563828,-102.40953,18.7,41.7,28.7
6,2024-12-12 00:36:24,38.392174,-103.614235,20.0,33.0,15.7
6,2024-12-12 00:37:12,37.08981,-103.85967,16.1,64.3,51.8
6,2024-12-12 00:37:14,38.38166,-103.37702,24.3,55.2,15.2
6,2024-12-12 00:37:43,39.724735,-104.597244,29.1,60.7,9.3
6,2024-12-12 00:38:09,38.921085,-102.980934,29.2,38.9,86.2
