Sensor_ID,Timestamp,Latitude,Longitude,Temperature,Humidity,Speed
8,2024-12-12 01:26:35,39.668846,-103.94385,19.7,39.7,38.1
8,2024-12-12 01:26:51,39.578106,-102.213524,18.3,53.9,32.2
8,2024-12-12 01:27:35,39.29855,-103.27337,24.1,54.3,62.6
8,2024-12-12 01:27:53,37.0442,-103.280365,26.5,68.2,36.2
8,2024-12-12 01:28:13,37.293972,-103.736336,17.9,30.6,56.8
8,2024-12-12 01:28:37,38.70948,-102.00608,27.0,68.4,37.6
8,2024-12-12 01:28:51,37.898636,-103.876595,16.9,45.7,29.2
8,2024-12-12 01:28:59,37.05321,-103.73777,25.6,61.3,39.2
8,2024-12-12 01:29:39,39.71263,-104.41342,25.2,46.8,65.1
8,2024-12-12 01:29:49,37.59423,-102.86773,23.8,61.3,80.6
8,2024-12-12 01:29:59,39.188602,-104.96751,16.6,62.8,31.2
8,2024-12-12 01:30:57,39.532265,-104.02286,22.6,61.6,21.1
8,2024-12-12 01:31:03,37.903084,-102.609955,26.3,46.1,86.1
8,2024-12-12 01:31:36,39.055126,-104.88817,18.0,35.4,54.9
8,2024-12-12 01:31:58,38.509735,-103.9473,29.5,58.8,82.8
8,2024-12-12 01:32:10,37.359818,-103.255,27.6,65.6,14.3
8,2024-12-12 01:32:14,38.442417,-104.73079,23.7,53.5,30.3
8,2024-12-12 01:32:26,37.87021,-103.101364,20.8,68.5,99.0
8,2024-12-12 01:32:46,39.10465,-103.693306,20.7,31.7,23.6
8,2024-12-12 01:33:18,37.84442,-102.67678,27.5,39.8,93.1
8,2024-12-12 01:33:34,37.22156,-102.3174,29.8,53.6,77.4
8,2024-12-12 01:33:38,38.685307,-102.61833,17.6,56.5,35.1
8,2024-12-12 01:33:44,38.92754,-103.26557,20.3,38.7,93.9
8,2024-12-12 01:33:46,38.210243,-103.7637,17.8,35.1,14.7
8,2024-12-12 01:34:14,38.379185,-102.33993,25.2,38.9,73.6
8,2024-12-12 01:34:34,38.685703,-102.29657,21.8,39.9,1.4
8,2024-12-12 01:34:46,39.76664,-102.78533,16.4,34.6,53.1
8,2024-12-12 01:34:52,38.248253,-102.73203,15.6,45.0,73.7
8,2024-12-12 01:35:22,38.800392,-104.78654,27.1,34.0,30.7
