Latitude,Longitude,Avg_Temperature
37.28439,-104.27876,19.200000762939453
38.35958,-102.25435,18.399999618530273
39.549046,-104.66196,23.700000762939453
39.03563,-104.46565,21.299999237060547
37.26592,-102.731514,29.899999618530273
37.315754,-102.40582,23.700000762939453
38.027184,-102.015526,18.399999618530273
38.752174,-103.30151,29.799999237060547
37.16035,-104.57084,21.0
37.362263,-104.209785,18.299999237060547
38.84104,-103.36186,25.299999237060547
37.125557,-103.24884,17.799999237060547
37.60322,-103.81156,26.299999237060547
37.49542,-103.99516,29.100000381469727
37.072517,-102.9886,23.0
38.118793,-104.471214,21.700000762939453
38.675858,-104.16091,26.299999237060547
38.553272,-103.28487,24.0
39.84536,-103.31122,20.899999618530273
39.540787,-104.077774,29.200000762939453
37.958183,-104.19917,16.0
37.17226,-102.200836,15.399999618530273
37.495113,-102.83145,27.600000381469727
37.80627,-104.70519,24.0
38.540928,-104.21238,21.0
39.28804,-102.98322,15.800000190734863
37.23953,-103.6404,15.800000190734863
37.000145,-104.00216,17.200000762939453
38.830822,-102.21141,19.899999618530273
37.287228,-104.53368,21.100000381469727
39.43985,-104.91509,28.0
38.78348,-102.89978,22.0
37.393635,-104.713326,25.200000762939453
38.14237,-104.99539,22.200000762939453
39.75547,-102.29945,27.5
37.073387,-103.38245,16.5
39.18235,-102.74874,18.100000381469727
38.66805,-102.618935,24.299999237060547
38.770947,-104.00834,27.700000762939453
37.54583,-102.26948,16.5
37.641792,-103.10524,22.700000762939453
37.604504,-104.23261,28.899999618530273
38.51759,-103.87409,17.5
38.881596,-103.21771,22.399999618530273
37.418953,-103.97933,21.700000762939453
38.27197,-103.98357,21.700000762939453
39.379547,-102.17646,29.899999618530273
39.824722,-102.67906,27.200000762939453
39.22298,-103.491776,19.700000762939453
39.629562,-102.03912,23.200000762939453
39.619843,-104.58857,16.0
38.00293,-103.75624,25.0
37.72337,-104.937454,26.899999618530273
39.806553,-104.79633,27.600000381469727
39.99683,-103.99328,28.799999237060547
37.426243,-102.47784,27.799999237060547
38.84977,-103.38233,19.5
38.217724,-103.49446,24.600000381469727
38.305435,-103.51087,24.299999237060547
38.587048,-104.60223,27.100000381469727
37.14058,-104.09833,29.200000762939453
38.40498,-103.10001,24.299999237060547
38.75731,-103.19315,25.200000762939453
38.13418,-103.31316,25.299999237060547
38.637062,-104.98749,28.899999618530273
37.63088,-104.24659,28.799999237060547
37.18132,-103.9327,17.299999237060547
37.23372,-104.60299,19.299999237060547
39.797737,-104.00409,28.899999618530273
37.1809,-102.42537,20.899999618530273
39.4952,-103.80129,22.0
39.835052,-104.78334,20.200000762939453
39.238934,-104.62458,18.399999618530273
37.149506,-103.41621,20.299999237060547
39.615555,-104.652115,20.0
38.57692,-103.47277,20.700000762939453
38.0257,-104.44788,24.5
37.29983,-103.31998,17.5
37.509388,-104.961876,17.799999237060547
38.84605,-104.65029,27.899999618530273
37.68758,-102.75893,29.200000762939453
38.823784,-103.733284,28.399999618530273
38.942665,-103.725914,15.600000381469727
37.16524,-102.67308,25.100000381469727
38.643227,-104.246735,20.399999618530273
39.264828,-102.25782,25.899999618530273
39.586235,-102.50177,23.200000762939453
39.930946,-103.75547,16.399999618530273
39.043064,-103.24715,19.399999618530273
37.412292,-104.56585,18.700000762939453
37.163147,-104.4624,24.799999237060547
38.3672,-103.51089,16.200000762939453
39.42944,-102.65755,22.700000762939453
39.40641,-103.11512,25.299999237060547
38.839977,-102.76639,18.899999618530273
37.025204,-104.57164,24.799999237060547
39.94191,-102.601135,21.0
39.197124,-102.26353,22.0
38.504547,-103.904755,20.700000762939453
37.255943,-104.51122,29.100000381469727
38.399673,-102.70714,28.799999237060547
